student_id,week,clicks,videos_watched,assignments_submitted
1013,8,275,10,1
1013,9,236,5,1
1013,10,75,5,1
1014,1,100,2,1
1014,2,190,1,1
1014,3,261,10,0
1014,4,60,10,0
1014,5,88,11,0
1014,6,182,1,0
1014,7,257,5,1
1014,8,86,7,1
1014,9,140,10,1
1014,10,204,4,1
1015,1,127,1,1
1015,2,231,10,1
1015,3,154,0,0
1015,4,264,8,1
1015,5,182,4,0
1015,6,275,0,0
1015,7,257,6,1
1015,8,72,4,1
1015,9,269,5,1
1015,10,38,2,1
1016,1,84,8,0
1016,2,14,3,0
1016,3,31,1,1
1016,4,216,4,1
1016,5,33,2,0
1016,6,56,6,1
1016,7,122,6,0
1016,8,240,9,1
1016,9,243,11,1
1016,10,289,1,1
1017,1,16,0,1
1017,2,44,5,1
1017,3,119,0,1
1017,4,84,10,1
1017,5,29,9,0
1017,6,157,5,1
1017,7,140,11,0
1017,8,129,6,1
1017,9,6,6,0
1017,10,127,9,1
1018,1,137,6,0
1018,2,65,8,1
1018,3,238,2,1
1018,4,266,6,0
1018,5,278,9,1
1018,6,204,11,0
1018,7,202,2,0
1018,8,46,0,1
1018,9,118,7,1
1018,10,1,0,0
1019,1,167,8,0
1019,2,228,5,1
1019,3,200,9,0
1019,4,4,1,0
1019,5,166,0,1
1019,6,264,2,0
1019,7,30,0,1
1019,8,158,1,1
1019,9,75,9,0
1019,10,279,8,0
1020,1,165,7,1
1020,2,231,5,1
1020,3,157,2,1
1020,4,268,10,1
1020,5,86,10,1
1020,6,223,3,1
1020,7,128,10,1
1020,8,172,7,1
1020,9,205,4,0
1020,10,51,2,0
1021,1,260,7,1
1021,2,218,0,1
1021,3,122,3,0
1021,4,177,8,1
1021,5,199,5,1
1021,6,136,1,1
1021,7,190,1,0
1021,8,167,8,1
1021,9,233,10,0
1021,10,69,8,0
1022,1,1,1,0
1022,2,121,8,0
1022,3,247,3,0
1022,4,37,7,0
1022,5,258,7,1
1022,6,122,10,0
1022,7,62,9,1
1022,8,140,0,1
1022,9,243,0,1
1022,10,257,11,0
1023,1,183,3,1
1023,2,158,0,1
1023,3,241,2,1
1023,4,272,5,0
1023,5,238,10,1
1023,6,290,11,1
1023,7,249,7,1
1023,8,14,3,0
1023,9,5,8,0
1023,10,179,10,1
1024,1,287,4,1
1024,2,89,7,0
1024,3,289,5,1
1024,4,255,10,0
1024,5,42,7,0
1024,6,148,0,1
1024,7,66,10,0
1024,8,23,6,1
1024,9,207,5,0
1024,10,64,2,1
1025,1,167,8,0
1025,2,202,0,1
1025,3,129,2,1
1025,4,23,8,1
1025,5,20,3,0
1025,6,113,8,0
1025,7,12,3,0
1025,8,261,8,0
1025,9,49,8,1
1025,10,8,8,0
1026,1,42,8,1
1026,2,208,9,1
1026,3,176,4,1
1026,4,202,5,0
1026,5,104,0,1
1026,6,96,4,1
1026,7,201,5,1
1026,8,33,9,1
1026,9,118,10,1
1026,10,30,7,0
1027,1,127,1,0
1027,2,290,2,0
1027,3,255,6,1
1027,4,203,5,0
1027,5,197,11,1
1027,6,112,2,0
1027,7,211,6,1
1027,8,250,9,1
1027,9,167,5,1
1027,10,31,2,1
1028,1,208,1,0
1028,2,38,7,1
1028,3,97,7,0
1028,4,59,8,1
1028,5,15,10,1
1028,6,229,11,0
1028,7,193,2,0
1028,8,122,5,0
1028,9,114,3,1
1028,10,192,10,0
1029,1,159,1,0
1029,2,69,7,1
1029,3,144,3,1
1029,4,233,0,1
1029,5,165,7,1
1029,6,240,4,0
1029,7,152,8,0
1029,8,123,4,1
1029,9,222,2,1
1029,10,62,1,0
1030,1,188,2,1
1030,2,189,5,0
1030,3,83,3,1
1030,4,76,1,0
1030,5,25,3,1
1030,6,44,10,1
1030,7,28,10,1
1030,8,184,4,1
1030,9,36,6,1
1030,10,153,2,1
1031,1,33,4,1
1031,2,235,7,0
1031,3,203,0,1
1031,4,87,10,1
1031,5,220,10,1
1031,6,67,11,0
1031,7,190,2,1
1031,8,192,10,0
1031,9,130,1,0
1031,10,210,10,1
1032,1,284,1,1
1032,2,124,4,1
1032,3,85,11,0
1032,4,132,6,1
1032,5,170,2,1
1032,6,37,4,0
1032,7,287,3,0
1032,8,140,11,1
1032,9,289,4,1
1032,10,288,1,1
1033,1,19,1,0
1033,2,34,6,1
1033,3,54,0,1
1033,4,170,2,0
1033,5,106,7,0
1033,6,5,10,1
1033,7,169,1,0
1033,8,97,4,1
1033,9,253,4,0
1033,10,228,10,1
1034,1,253,9,1
1034,2,170,11,0
1034,3,208,7,1
1034,4,24,2,1
1034,5,227,11,0
1034,6,135,9,1
1034,7,1,7,1
1034,8,23,4,1
1034,9,92,9,0
1034,10,112,4,1
1035,1,62,3,1
1035,2,230,3,1
1035,3,134,7,1
1035,4,77,7,0
1035,5,202,2,0
1035,6,136,4,1
1035,7,233,2,1
1035,8,150,8,1
1035,9,224,4,1
1035,10,255,9,1
1036,1,23,2,1
1036,2,36,4,1
1036,3,219,0,1
1036,4,165,0,0
1036,5,72,0,1
1036,6,9,0,0
1036,7,286,11,0
1036,8,28,3,0
1036,9,138,6,1
1036,10,66,11,1
1037,1,118,5,1
1037,2,215,4,1
1037,3,152,8,1
1037,4,12,8,1
1037,5,26,1,1
1037,6,283,11,1
1037,7,75,1,0
1037,8,128,4,1
1037,9,235,11,1
1037,10,251,6,1
1038,1,85,6,0
1038,2,66,10,0
1038,3,131,5,1
1038,4,101,7,1
1038,5,210,6,1
1038,6,218,1,1
1038,7,78,3,1
1038,8,113,9,1
1038,9,219,3,1
1038,10,152,10,1
1039,1,165,11,1
1039,2,242,9,1
1039,3,195,0,1
1039,4,195,9,1
1039,5,144,11,0
1039,6,250,9,1
1039,7,6,7,1
1039,8,25,7,1
1039,9,202,5,0
1039,10,182,2,0
1040,1,83,5,1
1040,2,180,10,1
1040,3,32,1,1
1040,4,182,1,0
1040,5,108,10,1
1040,6,176,9,1
1040,7,102,6,1
1040,8,217,4,1
1040,9,33,1,0
1040,10,253,8,1
1041,1,148,6,1
1041,2,68,9,0
1041,3,288,4,0
1041,4,31,9,1
1041,5,161,11,1
1041,6,22,1,0
1041,7,269,9,0
1041,8,47,7,1
1041,9,75,4,1
1041,10,196,2,1
1042,1,265,1,0
1042,2,124,1,1
1042,3,78,3,1
1042,4,104,6,1
1042,5,275,6,0
1042,6,272,11,1
1042,7,36,8,1
1042,8,270,11,0
1042,9,252,9,0
1042,10,161,6,1
1043,1,76,9,1
1043,2,137,9,1
1043,3,232,9,1
1043,4,81,2,1
1043,5,103,8,1
1043,6,137,2,0
1043,7,20,3,1
1043,8,123,8,0
1043,9,40,6,0
1043,10,2,9,1
1044,1,116,8,1
1044,2,227,8,0
1044,3,294,1,0
1044,4,131,1,1
1044,5,226,2,1
1044,6,66,4,0
1044,7,190,9,1
1044,8,199,0,0
1044,9,99,6,1
1044,10,134,9,1
1045,1,201,4,1
1045,2,94,3,1
1045,3,181,2,0
1045,4,69,5,1
1045,5,160,7,1
1045,6,17,6,1
1045,7,133,10,1
1045,8,150,0,1
1045,9,248,3,1
1045,10,112,4,1
1046,1,1,4,0
1046,2,12,8,0
1046,3,161,1,1
1046,4,243,3,0
1046,5,267,0,0
1046,6,242,6,1
1046,7,101,11,0
1046,8,147,11,1
1046,9,266,0,1
1046,10,251,1,0
1047,1,136,6,0
1047,2,144,3,1
1047,3,20,2,1
1047,4,50,8,1
1047,5,158,3,1
1047,6,155,7,0
1047,7,172,0,1
1047,8,93,11,1
1047,9,68,1,0
1047,10,135,0,1
1048,1,263,5,1
1048,2,291,10,1
1048,3,15,7,1
1048,4,106,5,1
1048,5,156,3,1
1048,6,64,2,0
1048,7,105,7,1
1048,8,38,6,0
1048,9,139,7,1
1048,10,265,4,0
1049,1,278,3,0
1049,2,4,2,0
1049,3,191,3,1
1049,4,272,2,1
1049,5,230,5,0
1049,6,18,3,0
1049,7,116,9,0
1049,8,225,6,1
1049,9,293,3,1
1049,10,88,0,1
1050,1,84,1,1
1050,2,74,1,0
1050,3,268,3,1
1050,4,53,3,1
1050,5,109,0,1
1050,6,40,8,0
1050,7,281,6,1
1050,8,19,11,1
1050,9,152,10,0
1050,10,46,0,0
1051,1,122,8,1
1051,2,176,11,1
1051,3,209,9,1
1051,4,170,8,1
1051,5,128,1,1
1051,6,84,10,1
1051,7,240,9,1
1051,8,203,6,1
1051,9,201,11,0
1051,10,230,5,0
1052,1,66,6,1
1052,2,294,9,1
1052,3,275,8,1
1052,4,131,6,1
1052,5,61,9,1
1052,6,112,10,1
1052,7,116,7,0
1052,8,291,10,0
1052,9,86,4,0
1052,10,282,6,1
1053,1,69,7,0
1053,2,278,6,1
1053,3,279,2,0
1053,4,182,5,1
1053,5,32,1,0
1053,6,185,8,1
1053,7,273,9,1
1053,8,278,8,1
1053,9,137,10,1
1053,10,143,7,0
1054,1,115,4,1
1054,2,64,0,0
1054,3,196,0,0
1054,4,295,11,1
1054,5,80,9,0
1054,6,252,4,0
1054,7,28,11,1
1054,8,16,2,1
1054,9,270,9,1
1054,10,33,2,1
1055,1,124,8,0
1055,2,264,0,1
1055,3,104,8,0
1055,4,90,5,0
1055,5,12,6,1
1055,6,208,0,0
1055,7,96,4,0
1055,8,35,1,1
1055,9,142,7,1
1055,10,51,0,0
1056,1,254,10,1
1056,2,224,2,1
1056,3,293,6,0
1056,4,293,11,1
1056,5,251,4,1
1056,6,150,6,0
1056,7,51,11,1
1056,8,12,0,1
1056,9,27,6,1
1056,10,70,6,1
1057,1,264,8,1
1057,2,63,7,0
1057,3,27,5,1
1057,4,280,6,1
1057,5,130,3,0
1057,6,125,4,0
1057,7,90,11,0
1057,8,284,7,1
1057,9,104,8,1
1057,10,257,1,0
1058,1,297,4,0
1058,2,135,2,0
1058,3,210,11,1
1058,4,7,11,0
1058,5,234,4,0
1058,6,291,4,1
1058,7,58,8,1
1058,8,3,1,1
1058,9,13,6,0
1058,10,256,2,1
1059,1,73,6,1
1059,2,123,8,1
1059,3,100,8,0
1059,4,90,1,1
1059,5,49,3,0
1059,6,122,4,1
1059,7,277,8,1
1059,8,107,3,1
1059,9,240,5,1
1059,10,206,2,0
1060,1,239,4,1
1060,2,171,5,0
1060,3,111,2,0
1060,4,77,1,0
1060,5,84,1,0
1060,6,158,5,1
1060,7,121,1,0
1060,8,121,0,1
1060,9,110,10,0
1060,10,276,11,1
1061,1,192,6,1
1061,2,267,7,0
1061,3,278,1,0
1061,4,185,0,1
1061,5,27,0,1
1061,6,289,2,1
1061,7,143,1,0
1061,8,112,8,1
1061,9,124,9,1
1061,10,26,8,0
1062,1,199,3,1
1062,2,14,4,1
1062,3,216,4,0
1062,4,250,1,0
1062,5,126,5,1
1062,6,115,6,1
1062,7,201,2,0
1062,8,258,3,1
1062,9,28,5,1
1062,10,137,1,1
1063,1,96,7,1
1063,2,3,4,0
1063,3,2,8,0
1063,4,158,9,0
1063,5,229,4,1
1063,6,178,4,1
1063,7,74,6,1
1063,8,135,0,0
1063,9,289,2,1
1063,10,251,1,0
1064,1,35,3,1
1064,2,193,7,1
1064,3,187,2,1
1064,4,109,6,1
1064,5,109,8,1
1064,6,215,8,1
1064,7,280,6,1
1064,8,95,6,1
1064,9,278,5,1
1064,10,251,5,0
1065,1,15,9,0
1065,2,84,5,1
1065,3,132,4,1
1065,4,199,11,0
1065,5,67,11,0
1065,6,124,10,0
1065,7,27,9,1
1065,8,30,4,0
1065,9,130,11,0
1065,10,188,7,1
1066,1,135,10,1
1066,2,114,0,0
1066,3,149,1,0
1066,4,190,0,1
1066,5,214,11,0
1066,6,161,3,1
1066,7,27,0,0
1066,8,12,9,1
1066,9,102,9,1
1066,10,61,11,1
1067,1,161,6,1
1067,2,210,8,0
1067,3,75,7,0
1067,4,140,8,1
1067,5,65,6,1
1067,6,139,0,1
1067,7,113,2,1
1067,8,0,11,1
1067,9,199,0,1
1067,10,90,1,1
1068,1,224,9,0
1068,2,200,11,0
1068,3,58,5,1
1068,4,266,1,0
1068,5,6,7,1
1068,6,172,0,1
1068,7,240,4,1
1068,8,162,6,1
1068,9,167,10,1
1068,10,141,1,0
1069,1,18,7,0
1069,2,203,0,1
1069,3,285,5,0
1069,4,239,8,0
1069,5,17,0,0
1069,6,66,8,1
1069,7,249,11,1
1069,8,214,3,0
1069,9,109,9,0
1069,10,73,6,1
1070,1,138,11,0
1070,2,9,7,0
1070,3,26,9,1
1070,4,22,1,0
1070,5,247,3,0
1070,6,13,5,1
1070,7,165,10,0
1070,8,84,7,1
1070,9,226,2,1
1070,10,38,10,1
1071,1,273,7,1
1071,2,25,5,1
1071,3,253,4,1
1071,4,44,8,1
1071,5,8,10,1
1071,6,11,6,1
1071,7,234,10,1
1071,8,103,8,1
1071,9,125,0,1
1071,10,246,9,1
1072,1,78,6,0
1072,2,166,6,0
1072,3,89,7,0
1072,4,19,0,1
1072,5,298,10,0
1072,6,112,10,1
1072,7,254,11,0
1072,8,128,7,1
1072,9,260,2,0
1072,10,51,7,0
1073,1,162,3,0
1073,2,111,6,0
1073,3,297,9,1
1073,4,101,2,1
1073,5,231,5,1
1073,6,148,5,1
1073,7,120,11,0
1073,8,209,6,0
1073,9,193,4,0
1073,10,143,4,0
1074,1,16,3,1
1074,2,22,1,0
1074,3,179,8,0
1074,4,16,9,0
1074,5,181,2,1
1074,6,266,5,1
1074,7,236,9,1
1074,8,208,8,1
1074,9,82,0,1
1074,10,197,0,1
1075,1,55,0,1
1075,2,273,6,1
1075,3,27,10,1
1075,4,162,0,0
1075,5,145,8,1
1075,6,22,8,1
1075,7,55,11,1
1075,8,214,6,1
1075,9,178,11,1
1075,10,48,5,0
1076,1,42,3,1
1076,2,199,11,1
1076,3,198,6,1
1076,4,120,3,1
1076,5,6,7,0
1076,6,8,5,1
1076,7,45,8,1
1076,8,16,8,0
1076,9,166,0,0
1076,10,117,6,1
1077,1,65,10,0
1077,2,178,7,1
1077,3,211,8,1
1077,4,51,11,0
1077,5,187,4,0
1077,6,32,8,1
1077,7,179,0,1
1077,8,112,1,1
1077,9,32,8,0
1077,10,241,2,1
1078,1,54,9,0
1078,2,235,10,1
1078,3,109,10,0
1078,4,205,0,0
1078,5,212,3,1
1078,6,127,6,1
1078,7,200,0,1
1078,8,132,10,1
1078,9,181,11,1
1078,10,67,9,0
1079,1,127,3,1
1079,2,41,1,1
1079,3,124,9,1
1079,4,4,8,1
1079,5,122,11,1
1079,6,258,4,0
1079,7,108,2,0
1079,8,148,10,1
1079,9,256,1,0
1079,10,0,6,1
1080,1,201,5,0
1080,2,158,6,1
1080,3,102,4,1
1080,4,77,0,0
1080,5,177,7,1
1080,6,128,2,0
1080,7,118,1,0
1080,8,201,4,1
1080,9,119,3,1
1080,10,242,8,1
1081,1,85,4,1
1081,2,210,6,1
1081,3,168,5,1
1081,4,268,10,1
1081,5,120,1,1
1081,6,70,0,1
1081,7,119,10,1
1081,8,198,3,1
1081,9,128,8,0
1081,10,266,7,1
1082,1,46,9,1
1082,2,92,7,0
1082,3,294,2,1
1082,4,239,6,1
1082,5,23,3,1
1082,6,282,4,1
1082,7,127,6,0
1082,8,193,0,1
1082,9,5,0,1
1082,10,49,8,1
1083,1,209,1,1
1083,2,78,10,1
1083,3,35,7,1
1083,4,203,9,1
1083,5,65,5,1
1083,6,259,8,1
1083,7,53,2,0
1083,8,7,7,0
1083,9,117,3,0
1083,10,97,9,0
1084,1,191,4,1
1084,2,70,9,0
1084,3,294,10,0
1084,4,126,0,1
1084,5,212,0,1
1084,6,230,4,1
1084,7,265,6,1
1084,8,150,10,1
1084,9,68,5,1
1084,10,155,10,1
1085,1,127,8,0
1085,2,182,8,1
1085,3,70,10,1
1085,4,154,3,1
1085,5,287,8,0
1085,6,206,9,0
1085,7,287,11,1
1085,8,32,2,0
1085,9,196,9,0
1085,10,6,2,0
1086,1,60,11,0
1086,2,248,6,1
1086,3,30,10,1
1086,4,143,6,0
1086,5,20,0,0
1086,6,89,4,1
1086,7,37,7,1
1086,8,136,7,1
1086,9,192,6,1
1086,10,195,8,1
1087,1,279,6,1
1087,2,36,2,1
1087,3,120,0,1
1087,4,157,3,1
1087,5,25,1,1
1087,6,33,8,1
1087,7,93,11,1
1087,8,257,11,1
1087,9,175,6,1
1087,10,168,10,1
1088,1,165,7,1
1088,2,243,1,0
1088,3,163,7,1
1088,4,216,6,1
1088,5,92,6,1
1088,6,244,9,1
1088,7,9,11,1
1088,8,102,2,1
1088,9,75,0,0
1088,10,41,7,1
1089,1,161,1,0
1089,2,267,5,0
1089,3,48,11,1
1089,4,265,7,0
1089,5,257,11,0
1089,6,264,0,1
1089,7,1,8,1
1089,8,296,3,1
1089,9,128,0,1
1089,10,178,3,1
1090,1,91,11,1
1090,2,153,5,1
1090,3,165,11,1
1090,4,239,1,1
1090,5,102,7,0
1090,6,33,5,1
1090,7,175,3,0
1090,8,234,6,1
1090,9,4,7,1
1090,10,243,0,1
1091,1,241,7,1
1091,2,173,3,1
1091,3,284,9,1
1091,4,116,2,0
1091,5,40,3,1
1091,6,196,11,1
1091,7,182,2,1
1091,8,274,1,0
1091,9,67,6,0
1091,10,47,7,1
1092,1,203,6,1
1092,2,93,4,0
1092,3,55,1,0
1092,4,201,3,0
1092,5,55,0,0
1092,6,249,10,1
1092,7,93,3,1
1092,8,195,7,1
1092,9,173,3,1
1092,10,177,7,0
1093,1,91,1,1
1093,2,25,1,1
1093,3,191,3,0
1093,4,130,3,1
1093,5,293,3,1
1093,6,267,3,0
1093,7,22,8,1
1093,8,108,5,1
1093,9,124,1,1
1093,10,114,11,1
1094,1,217,7,1
1094,2,107,4,0
1094,3,45,6,1
1094,4,108,3,1
1094,5,236,4,1
1094,6,121,0,0
1094,7,85,9,1
1094,8,232,4,0
1094,9,19,8,1
1094,10,136,0,0
1095,1,30,1,1
1095,2,182,4,0
1095,3,269,0,1
1095,4,132,11,0
1095,5,294,0,1
1095,6,262,6,1
1095,7,218,4,0
1095,8,53,2,1
1095,9,9,1,0
1095,10,36,3,1
1096,1,104,0,0
1096,2,122,6,1
1096,3,63,2,1
1096,4,292,0,0
1096,5,222,1,0
1096,6,209,10,0
1096,7,195,2,0
1096,8,184,6,1
1096,9,264,4,0
1096,10,117,5,1
1097,1,42,10,1
1097,2,88,8,0
1097,3,68,6,1
1097,4,286,2,0
1097,5,170,10,0
1097,6,128,0,0
1097,7,7,6,1
1097,8,213,7,0
1097,9,193,11,1
1097,10,243,1,1
1098,1,39,3,0
1098,2,197,0,0
1098,3,108,2,1
1098,4,69,11,0
1098,5,67,0,0
1098,6,86,9,1
1098,7,219,11,1
1098,8,6,1,0
1098,9,284,4,1
1098,10,290,10,1
1099,1,290,8,1
1099,2,250,0,0
1099,3,97,10,0
1099,4,121,9,0
1099,5,38,3,0
1099,6,267,4,0
1099,7,231,3,1
1099,8,46,6,1
1099,9,297,9,1
1099,10,12,8,1
1100,1,230,11,1
1100,2,40,1,1
1100,3,224,11,1
1100,4,265,10,1
1100,5,285,4,1
1100,6,48,1,1
1100,7,49,2,1
1100,8,20,11,0
1100,9,246,0,0
1100,10,55,1,0
1101,1,117,0,1
1101,2,124,2,1
1101,3,105,9,0
1101,4,148,0,1
1101,5,104,11,1
1101,6,70,4,1
1101,7,116,6,1
1101,8,241,7,1
1101,9,35,9,1
1101,10,287,7,1
1102,1,122,0,1
1102,2,87,9,1
1102,3,133,1,0
1102,4,279,6,1
1102,5,242,10,0
1102,6,245,6,1
1102,7,66,5,0
1102,8,265,3,0
1102,9,211,9,1
1102,10,17,7,1
1103,1,128,9,0
1103,2,250,10,0
1103,3,159,7,1
1103,4,175,4,1
1103,5,112,7,0
1103,6,11,4,1
1103,7,265,2,1
1103,8,226,4,0
1103,9,81,5,0
1103,10,72,2,1
1104,1,155,3,1
1104,2,239,6,1
1104,3,26,1,1
1104,4,187,1,0
1104,5,254,9,1
1104,6,147,10,1
1104,7,15,3,0
1104,8,7,1,1
1104,9,48,5,0
1104,10,266,2,1
1105,1,137,10,1
1105,2,44,0,0
1105,3,271,6,1
1105,4,248,4,0
1105,5,44,5,1
1105,6,206,9,0
1105,7,99,3,1
1105,8,20,10,0
1105,9,18,11,0
1105,10,162,5,1
1106,1,253,4,1
1106,2,288,2,0
1106,3,211,9,0
1106,4,276,8,1
1106,5,70,5,0
1106,6,43,8,0
1106,7,33,4,0
1106,8,51,8,1
1106,9,226,9,1
1106,10,46,5,0
1107,1,129,7,0
1107,2,226,6,1
1107,3,278,0,1
1107,4,48,0,0
1107,5,55,3,1
1107,6,19,3,1
1107,7,33,2,1
1107,8,117,11,1
1107,9,94,7,1
1107,10,290,0,1
1108,1,133,10,1
1108,2,92,3,0
1108,3,140,11,1
1108,4,217,2,1
1108,5,101,1,0
1108,6,43,1,1
1108,7,126,4,0
1108,8,186,11,1
1108,9,94,6,0
1108,10,174,1,0
1109,1,97,3,0
1109,2,271,5,0
1109,3,266,6,1
1109,4,214,10,0
1109,5,251,0,1
1109,6,36,0,1
1109,7,195,8,1
1109,8,121,1,0
1109,9,233,8,0
1109,10,0,4,0
1110,1,56,4,1
1110,2,72,1,0
1110,3,167,9,0
1110,4,291,2,1
1110,5,268,0,1
1110,6,136,7,1
1110,7,0,1,1
1110,8,260,2,1
1110,9,171,2,1
1110,10,7,7,1
1111,1,193,9,0
1111,2,264,10,1
1111,3,261,11,0
1111,4,266,2,1
1111,5,292,2,1
1111,6,196,2,0
1111,7,183,2,1
1111,8,34,0,1
1111,9,189,7,0
1111,10,262,0,1
1112,1,243,0,0
1112,2,269,4,0
1112,3,51,9,1
1112,4,60,5,0
1112,5,257,4,0
1112,6,282,2,0
1112,7,157,8,1
1112,8,264,3,0
1112,9,204,11,1
1112,10,61,1,1
1113,1,152,9,0
1113,2,118,8,0
1113,3,236,4,1
1113,4,101,4,1
1113,5,52,11,0
1113,6,149,8,1
1113,7,148,0,1
1113,8,266,6,1
1113,9,2,8,0
1113,10,262,4,0
1114,1,63,8,1
1114,2,52,7,0
1114,3,125,3,1
1114,4,165,0,1
1114,5,278,0,0
1114,6,160,8,1
1114,7,43,9,1
1114,8,135,4,1
1114,9,276,5,1
1114,10,214,6,1
1115,1,65,10,0
1115,2,193,6,1
1115,3,220,6,0
1115,4,82,6,1
1115,5,158,1,0
1115,6,104,8,1
1115,7,54,10,0
1115,8,266,1,1
1115,9,96,0,1
1115,10,97,5,1
1116,1,30,9,1
1116,2,133,0,1
1116,3,193,8,0
1116,4,291,2,1
1116,5,232,2,0
1116,6,257,2,0
1116,7,296,6,1
1116,8,209,7,0
1116,9,257,5,1
1116,10,91,7,0
1117,1,214,9,0
1117,2,188,9,0
1117,3,135,8,1
1117,4,192,6,0
1117,5,216,2,0
1117,6,123,8,1
1117,7,252,8,1
1117,8,10,10,0
1117,9,97,8,1
1117,10,109,1,1
1118,1,249,6,0
1118,2,152,8,0
1118,3,279,11,1
1118,4,285,3,1
1118,5,137,10,1
1118,6,218,3,1
1118,7,73,4,1
1118,8,32,11,0
1118,9,147,1,0
1118,10,90,2,0
1119,1,219,10,0
1119,2,156,10,0
1119,3,40,1,1
1119,4,135,9,1
1119,5,120,7,1
1119,6,1,10,0
1119,7,163,5,0
1119,8,280,7,1
1119,9,269,2,1
1119,10,271,7,1
1120,1,268,5,1
1120,2,277,4,0
1120,3,29,3,1
1120,4,128,4,1
1120,5,163,2,0
1120,6,250,10,1
1120,7,111,4,1
1120,8,212,4,0
1120,9,234,11,1
1120,10,153,5,1
1121,1,72,8,1
1121,2,23,11,1
1121,3,133,10,1
1121,4,50,4,0
1121,5,193,6,1
1121,6,71,9,0
1121,7,263,6,1
1121,8,268,3,0
1121,9,250,6,0
1121,10,199,0,1
1122,1,34,10,1
1122,2,294,7,0
1122,3,19,3,1
1122,4,169,5,0
1122,5,241,0,1
1122,6,25,9,0
1122,7,149,6,1
1122,8,143,0,1
1122,9,59,5,1
1122,10,33,0,1
1123,1,272,4,1
1123,2,270,10,1
1123,3,28,7,0
1123,4,83,5,1
1123,5,117,6,1
1123,6,59,6,0
1123,7,19,1,0
1123,8,153,2,0
1123,9,132,9,1
1123,10,242,11,0
1124,1,88,1,1
1124,2,153,10,1
1124,3,94,0,0
1124,4,11,6,1
1124,5,218,9,1
1124,6,222,2,1
1124,7,199,11,1
1124,8,10,11,1
1124,9,208,5,0
1124,10,181,10,0
1125,1,132,0,0
1125,2,185,6,1
1125,3,33,3,0
1125,4,62,7,0
1125,5,38,3,1
1125,6,133,5,1
1125,7,268,8,1
1125,8,1,2,1
1125,9,133,10,1
1125,10,85,8,0
1126,1,281,3,1
1126,2,185,8,1
1126,3,66,3,1
1126,4,85,6,1
1126,5,174,7,1
1126,6,14,9,0
1126,7,20,4,1
1126,8,202,5,0
